0.dog, laser, lemon, arm, rome, washington, washer, angel, kid, liver, powder, remedies, herbal, medium, yellow, coated, acne, colour, supplements
1.gas, war, england, field, club, lead, millionaire, belt, france, domestic, sea, cold, wars, bloody, trade, steam, arms, lincoln, killed
2.robot, trip, arm, hospital, club, dinosaur, arm, lawyer, angel, plane, guided, sort, tracking, lets, vehicle, ship, camera, kind, stuff
3.rat, log, wave, mole, king, air, rose, dwarf, horseshoe, activity, sequence, detected, responses, bug, samples, expression, measured, profiles, scan
4.press, undertaker, turkey, wave, china, opera, greece, novel, sub, wrestling, championship, raw, ali, khan, beaten, trophy, bobby, opponent, vs.
5.mole, time, grass, stadium, vacuum, beach, teacher, telescope, lock, pig, beef, pigs, pork, tomato, chicken, species, potato, rat, goat
6.file, turkey, berlin, band, hole, jam, mammoth, giant, truck, declaration, languages, proceedings, translation, rome, residence, transfers, embassy, slideshow, ukraine
7.trip, van, africa, circle, gold, rat, mass, revolution, beach, holland, belgium, netherlands, sweden, expedition, met, told, nelson, amsterdam, daniel
8.canada, green, doctor, beach, ruler, lead, whale, tower, shadow, buy, store, review, cheapest, pills, pill, approved, check, here, office
9.file, vacuum, millionaire, cell, box, horseshoe, file, ketchup, snowman, forex, scam, reality, proven, elite, rid, wealth, entrepreneur, becoming, wealthy
10.arm, chocolate, rat, fan, eye, jet, swing, washer, green, yeast, proteins, cock, teddy, bull, daddy, bear, mice, killer, giant
11.oil, canada, whale, apple, water, himalaya, giant, jam, crash, alaska, cod, finland, fleet, internationally, calgary, asia, arctic, norway, nova
12.death, head, france, rock, rose, circle, bark, knight, teacher, iraq, forces, england, u.s., egypt, situation, united, ireland, countries, states
13.jam, center, flute, piano, greece, tower, log, himalaya, alien, 3/4, ribbon, 1/4, ginger, nose, 1/2, hole, pan, baking, nut
14.rat, revolution, teacher, knife, glass, human, club, fly, moscow, witch, cartoon, hell, idiot, mama, king, uncle, ii, monkey, mad
15.root, lock, gold, snowman, nut, fan, eye, fair, box, symbol, cluster, secondary, element, recovery, reverse, method, strength, account, indicates
16.washington, teacher, limousine, cross, hole, air, horseshoe, opera, fan, planner, hiring, hired, specializing, advisors, bachelor, broker, consultants, attorneys, charter
17.fly, limousine, telescope, yard, green, paper, lead, park, spike, aboard, rover, locate, helicopter, airplane, sailing, high-speed, plane, balloon, planes
18.death, shadow, whip, mercury, grass, compound, center, model, india, scream, cruel, twisted, gonna, curse, scary, insane, freak, wicked, sword
19.boom, well, engine, model, port, ivory, ice, rome, washington, loud, tune, sound, boost, sounds, seo, truck, thanks, lets, bigger
20.iron, jet, ketchup, march, racket, turkey, limousine, ice, port, dye, chemicals, glue, 3/4, sweat, concentrate, toxic, coat, coated, barrel
21.oil, amazon, forest, ivory, olive, china, jet, maple, mole, logging, inventory, clearing, save, reserve, protected, parks, saving, content, lands
22.maple, wake, giant, unicorn, wake, forest, model, doctor, cell, pound, hanging, sticks, fried, balls, sour, crushed, jam, rolled, snack
23.row, amazon, lap, teacher, air, africa, dinosaur, stick, model, checkout, 126, 119, yesterday, 175, sprint, 49, winner, 3rd, 59
24.gold, giant, sub, swing, eye, mug, millionaire, mouth, lab, meters, 1000, spanish, 500, private, owned, hunter, boxes, 23, 400
25.hook, dress, maple, hole, death, air, jam, lab, africa, accents, faux, accent, crafted, antique, silk, woven, floral, beautifully, silver
26.giant, mole, whip, lead, nut, olympus, glass, rome, undertaker, creature, snake, chick, spider, penis, chicks, smell, joke, shrimp, zombie
27.switch, whip, hood, dice, unicorn, kiwi, shot, turkey, alien, harness, attach, lid, antenna, trim, attachment, connector, strap, cable, coil
28.copper, oil, egypt, lemon, eye, telescope, berlin, sprint, rat, exports, reserves, electricity, export, petroleum, pipeline, mines, mining, agricultural, china
29.copper, jupiter, wall, angel, van, alien, file, crash, kangaroo, solar, sunlight, magnetic, square, coral, adjacent, basin, metals, positioned, minerals
30.human, yard, jupiter, laser, flute, iron, king, racket, novel, surrounding, arlington, space, opposite, observe, closest, neighborhood, homes, distant, approaching
31.opera, green, cell, yard, dog, mouth, beach, hotel, bow, collaboration, adaptation, supported, at&t, production, applications, themes, novel, stage, htc
32.mammoth, oil, board, lead, egypt, ruler, piano, telescope, india, pumpkin, alaska, pine, pile, basin, cedar, walnut, peanut, tree, alberta
33.hole, egypt, march, rock, tower, paper, revolution, staff, server, seventh, eighth, brazil, sixth, reached, fourth, middle, between, third, till
34.worm, forest, dog, band, engine, giant, grass, fan, bark, prevention, disease, fishing, diseases, witch, removal, poison, infection, bee, bird
35.mouth, ice, bank, olive, france, africa, opera, forest, shot, flow, freeze, amount, flows, beverage, balance, freezing, freezer, these, keeps
36.trip, dice, fly, kiwi, africa, flute, sprint, berlin, turkey, luck, trick, spin, fun, reel, hang, ball, las, play, roll
37.telescope, night, staff, dice, whale, mass, olympus, greece, antarctica, vision, observation, bright, eye, star, sun, dining, desk, sky, looked
38.angel, rose, racket, port, unicorn, lead, band, dice, telescope, shoe, purse, glove, ball, shoes, basket, tennis, scream, prince, arms
39.file, olympus, truck, capital, shot, lab, cell, lemon, tooth, mt, sd, specs, mount, compact, .4, 800, 1.3, .0, specifications
40.circle, dice, time, giant, greece, press, note, bug, tooth, rings, hearts, rounds, throw, diamond, slice, roll, lucky, ball, magic
41.forest, boom, fly, alien, glass, shot, europe, spike, bug, wake, dam, sing, fishing, rock, harvest, dance, cliff, climb, lifts
42.server, china, club, tooth, mole, ketchup, fly, yard, beach, media, administration, network, global, policies, policy, organisation, supporting, enterprise, accounts
43.capital, kangaroo, night, dwarf, park, bug, green, boom, racket, australian, kong, australia, territory, abc, zealand, brisbane, dollar, sydney, hong
44.band, kid, jet, undertaker, truck, lab, oil, greece, kiwi, sky, singer, star, disco, solo, dream, wave, fan, dancing, tommy
45.press, ruler, himalaya, dress, paste, log, engine, england, capital, olympus, chronicles, htc, latitude, polar, allah, sacred, mars, singh, galaxy
46.mouth, mass, oil, eagle, tower, cross, ice, engine, giant, excessive, excess, concentrated, acids, fatty, prevent, sensitive, burning, consumed, affect
47.novel, canada, knife, eagle, knight, knife, vacuum, fan, compound, crime, borders, innovative, developed, french, society, countries, approach, took, guide
48.mole, olympus, eye, opera, copper, glove, worm, lock, ruler, smallest, scandal, revealed, imaging, .8, toner, hawk, .6, observation, .7
49.giant, yard, green, net, bank, lab, stick, slip, trip, surrounded, trees, plants, granite, landscape, planted, fountain, tree, plant, backyard
50.mercury, mug, dwarf, india, march, gold, fan, wave, millionaire, bacteria, rat, containers, rover, mushrooms, poison, crab, co2, container, gallon
51.bark, china, mercury, club, opera, undertaker, ghost, row, circle, minerals, calcium, substances, oils, bacteria, toxic, harmful, hazardous, chemicals, excessive
52.piano, stick, chocolate, yard, lap, beach, france, hook, cell, jam, maple, lover, magic, salsa, pieces, mix, funky, hearts, passion
53.india, port, flute, cross, ivory, shot, doctor, ice, lead, cruises, festivals, skype, 128, router, flights, volume, opera, arranged, tours
54.fan, water, lab, racket, human, himalaya, iron, queen, shot, aquarium, store, check, installation, home, tech, bio, shop, stuff, tank
55.ham, africa, rock, capital, tooth, dwarf, rose, triangle, india, football, rugby, hunt, meat, shit, breakfast, buffalo, soccer, radio, whole
56.piano, lab, club, glove, canada, alien, lemon, agent, march, instructors, studio, chair, instruction, master, hip, teach, homework, listening, suite
57.fly, jam, stadium, log, spike, belt, slip, knight, triangle, tickets, nationals, tour, tomorrow, beatles, olympics, concerts, amsterdam, crowds, peppers
58.log, canada, file, washington, time, bond, unicorn, back, dwarf, directories, directory, profiles, url, import, sd, export, png, adobe, privacy
59.hotel, wake, air, stick, teacher, park, sprint, tower, europe, complimentary, bathroom, bed, comfort, relax, sleeping, comfortable, relaxing, coffee, cabin
60.bank, gold, hotel, racket, hood, tooth, switch, van, telescope, casino, capital, dubai, asia, royal, singapore, beijing, western, resort, shanghai
